region,total_revenue,total_orders,unique_customers,revenue_per_order,revenue_per_customer,order_per_customer,revenue_%,cumulative_revenue_%
NA,2968096.26,10265,9388,289.14722454943984,316.1585279079676,1.0934171282488283,48.25179115268667,48.25179115268667
EMEA,2562575.68,9454,8640,271.0572963824836,296.5944074074074,1.0942129629629629,41.65931819351238,89.91110934619904
APAC,531226.11,1570,1430,338.3605796178344,371.4867902097902,1.097902097902098,8.636044477403221,98.54715382360226
LATAM,85841.4,386,356,222.38704663212434,241.12752808988762,1.0842696629213484,1.3955077403905483,99.94266156399281
unknown,3527.04,42,37,83.97714285714285,95.3254054054054,1.135135135135135,0.05733843600718395,100.0
